State,Soil_type
Telangana,Red and Yellow
Andhra Pradesh,Red and Yellow
Assam,alluvial
Bihar,alluvial
Karnataka,Black
Tamil Nadu,Red and Yellow
Chhattisgarh,Red and Yellow
Goa,Red and Yellow
Gujarat,Black
Haryana,alluvial
Himachal Pradesh,alluvial
Jharkhand,Red and Yellow
Kerala,laterite
Madhya Pradesh,Black
Maharashtra,Black
Manipur,Red and Yellow
Meghalaya,alluvial
Mizoram,Red
Nagaland,Red
Odisha,Red
Punjab,alluvial
Rajasthan,Desert
Sikkim,Mountain
Tamilnadu,Red
Tripura,Red
Uttar Pradesh,Alluvial
West Bengal,Alluvial
Arunachal Pradesh,Red
